Survey Years,Sex,Age Group,Race and Hispanic Origin,Nutrient,Mean,Standard Error,Lower 95% CI Limit,Upper 95% CI Limit,Note1,Note2,Notea,Noteb
2003-2004,Female,2-19,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Female,2-5,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Female,6-11,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Female,12-19,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Female,20 and over,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Female,20-29,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Female,30-39,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Female,40-49,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Female,50-59,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Female,60-69,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Female,70 and over,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Male,2-19,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Male,2-5,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Male,6-11,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Male,12-19,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Male,20 and over,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Male,20-29,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Male,30-39,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Male,40-49,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Male,50-59,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Male,60-69,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Male,70 and over,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2005-2006,All,2-19,All,Calcium,"1,025.1",31.9,"1,088.1",962.0,,,,
2005-2006,All,2-19,Non-Hispanic White,Calcium,"1,108.5",45.9,"1,199.2","1,017.9",,,,
2005-2006,All,2-19,Non-Hispanic Black,Calcium,844.1,35.1,913.5,774.6,,,,
2005-2006,All,2-19,Non-Hispanic Asian,Calcium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,2-19,Hispanic,Calcium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,2-19,Mexican American,Calcium,986.2,27.3,"1,040.1",932.3,,,,
2005-2006,All,2-5,All,Calcium,904.2,24.5,855.7,952.7,,,,
2005-2006,All,6-11,All,Calcium,"1,012.3",28.4,956.2,"1,068.4",,,,
2005-2006,All,12-19,All,Calcium,"1,025.1",31.9,962.0,"1,088.1",,,,
2005-2006,All,20 and over,All,Calcium,960.9,19.6,999.7,922.2,,,,
2005-2006,All,20 and over,Non-Hispanic White,Calcium,"1,006.2",23.5,"1,052.7",959.7,,,,
2005-2006,All,20 and over,Non-Hispanic Black,Calcium,787.8,22.9,833.0,742.6,,,,
2005-2006,All,20 and over,Non-Hispanic Asian,Calcium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,20 and over,Hispanic,Calcium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,20 and over,Mexican American,Calcium,920.1,20.1,959.9,880.3,,,,
2005-2006,All,20-29,All,Calcium,"1,017.7",31.8,954.9,"1,080.4",,,,
2005-2006,All,30-39,All,Calcium,"1,064.3",33.1,999.0,"1,129.6",,,,
2005-2006,All,40-49,All,Calcium,"1,006.0",29.2,948.2,"1,063.8",,,,
2005-2006,All,50-59,All,Calcium,909.3,34.6,840.9,977.6,,,,
2005-2006,All,60-69,All,Calcium,866.7,34.0,799.5,933.9,,,,
2005-2006,All,70 and over,All,Calcium,805.5,24.6,757.0,854.1,,,,
2005-2006,Female,2-19,All,Calcium,848.8,40.5,928.8,768.8,,,,
2005-2006,Female,2-5,All,Calcium,853.1,34.1,785.7,920.4,,,,
2005-2006,Female,6-11,All,Calcium,946.0,50.2,846.8,"1,045.2",,,,
2005-2006,Female,12-19,All,Calcium,848.8,40.5,768.8,928.8,,,,
2005-2006,Female,20 and over,All,Calcium,857.8,22.1,901.5,814.1,,,,
2005-2006,Female,20-29,All,Calcium,933.4,49.4,835.8,"1,030.9",,,,
2005-2006,Female,30-39,All,Calcium,895.8,44.6,807.7,983.8,,,,
2005-2006,Female,40-49,All,Calcium,922.9,27.0,869.6,976.3,,,,
2005-2006,Female,50-59,All,Calcium,799.5,40.0,720.5,878.5,,,,
2005-2006,Female,60-69,All,Calcium,783.3,34.4,715.3,851.3,,,,
2005-2006,Female,70 and over,All,Calcium,752.0,28.7,695.4,808.7,,,,
2005-2006,Male,2-19,All,Calcium,"1,186.5",45.5,"1,276.4","1,096.5",,,,
2005-2006,Male,2-5,All,Calcium,955.4,28.2,899.7,"1,011.1",,,,
2005-2006,Male,6-11,All,Calcium,"1,079.0",29.1,"1,021.5","1,136.6",,,,
2005-2006,Male,12-19,All,Calcium,"1,186.5",45.5,"1,096.5","1,276.4",,,,
2005-2006,Male,20 and over,All,Calcium,"1,072.6",22.6,"1,117.1","1,028.0",,,,
2005-2006,Male,20-29,All,Calcium,"1,102.7",41.7,"1,020.2","1,185.1",,,,
2005-2006,Male,30-39,All,Calcium,"1,227.1",50.9,"1,126.6","1,327.6",,,,
2005-2006,Male,40-49,All,Calcium,"1,099.1",41.2,"1,017.7","1,180.6",,,,
2005-2006,Male,50-59,All,Calcium,"1,020.4",35.9,949.5,"1,091.3",,,,
2005-2006,Male,60-69,All,Calcium,963.4,45.5,873.6,"1,053.2",,,,
2005-2006,Male,70 and over,All,Calcium,881.1,27.2,827.3,934.8,,,,
2005-2006,All,2-19,All,Dietary Fiber,13.9,0.3,14.4,13.3,,,,
2005-2006,All,2-19,Non-Hispanic White,Dietary Fiber,14.1,0.4,14.9,13.4,,,,
2005-2006,All,2-19,Non-Hispanic Black,Dietary Fiber,11.9,0.5,12.8,10.9,,,,
2005-2006,All,2-19,Non-Hispanic Asian,Dietary Fiber,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,2-19,Hispanic,Dietary Fiber,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,2-19,Mexican American,Dietary Fiber,15.8,0.5,16.8,14.9,,,,
2005-2006,All,2-5,All,Dietary Fiber,10.7,0.3,10.1,11.3,,,,
2005-2006,All,6-11,All,Dietary Fiber,13.0,0.4,12.3,13.8,,,,
2005-2006,All,12-19,All,Dietary Fiber,13.9,0.3,13.3,14.4,,,,
2005-2006,All,20 and over,All,Dietary Fiber,15.9,0.3,16.5,15.3,,,,
2005-2006,All,20 and over,Non-Hispanic White,Dietary Fiber,16.1,0.4,16.8,15.4,,,,
2005-2006,All,20 and over,Non-Hispanic Black,Dietary Fiber,13.2,0.4,13.9,12.5,,,,
2005-2006,All,20 and over,Non-Hispanic Asian,Dietary Fiber,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,20 and over,Hispanic,Dietary Fiber,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,20 and over,Mexican American,Dietary Fiber,19.1,0.6,20.3,17.9,,,,
2005-2006,All,20-29,All,Dietary Fiber,14.7,0.5,13.7,15.7,,,,
2005-2006,All,30-39,All,Dietary Fiber,16.8,0.6,15.5,18.0,,,,
2005-2006,All,40-49,All,Dietary Fiber,16.2,0.6,15.0,17.3,,,,
2005-2006,All,50-59,All,Dietary Fiber,16.6,0.6,15.3,17.9,,,,
2005-2006,All,60-69,All,Dietary Fiber,15.8,0.5,14.8,16.7,,,,
2005-2006,All,70 and over,All,Dietary Fiber,14.9,0.5,13.9,16.0,,,,
2005-2006,Female,2-19,All,Dietary Fiber,12.4,0.5,13.3,11.4,,,,
2005-2006,Female,2-5,All,Dietary Fiber,10.4,0.5,9.5,11.4,,,,
2005-2006,Female,6-11,All,Dietary Fiber,12.0,0.4,11.2,12.7,,,,
2005-2006,Female,12-19,All,Dietary Fiber,12.4,0.5,11.4,13.3,,,,
2005-2006,Female,20 and over,All,Dietary Fiber,14.1,0.3,14.8,13.4,,,,
2005-2006,Female,20-29,All,Dietary Fiber,12.9,0.7,11.4,14.4,,,,
2005-2006,Female,30-39,All,Dietary Fiber,14.6,0.7,13.3,15.9,,,,
2005-2006,Female,40-49,All,Dietary Fiber,14.4,0.6,13.2,15.6,,,,
2005-2006,Female,50-59,All,Dietary Fiber,14.9,0.7,13.4,16.3,,,,
2005-2006,Female,60-69,All,Dietary Fiber,14.3,0.5,13.3,15.4,,,,
2005-2006,Female,70 and over,All,Dietary Fiber,13.6,0.7,12.3,14.9,,,,
2005-2006,Male,2-19,All,Dietary Fiber,15.2,0.4,16.0,14.4,,,,
2005-2006,Male,2-5,All,Dietary Fiber,11.0,0.5,10.1,11.9,,,,
2005-2006,Male,6-11,All,Dietary Fiber,14.1,0.5,13.1,15.0,,,,
2005-2006,Male,12-19,All,Dietary Fiber,15.2,0.4,14.4,16.0,,,,
2005-2006,Male,20 and over,All,Dietary Fiber,17.8,0.4,18.6,17.1,,,,
2005-2006,Male,20-29,All,Dietary Fiber,16.6,0.7,15.3,17.9,,,,
2005-2006,Male,30-39,All,Dietary Fiber,18.9,0.9,17.0,20.7,,,,
2005-2006,Male,40-49,All,Dietary Fiber,18.2,0.8,16.5,19.8,,,,
2005-2006,Male,50-59,All,Dietary Fiber,18.3,0.8,16.7,20.0,,,,
2005-2006,Male,60-69,All,Dietary Fiber,17.5,0.6,16.3,18.7,,,,
2005-2006,Male,70 and over,All,Dietary Fiber,16.8,0.6,15.6,17.9,,,,
2005-2006,All,2-19,All,Iron,16.6,0.3,17.2,16.0,,,,
2005-2006,All,2-19,Non-Hispanic White,Iron,17.3,0.5,18.2,16.4,,,,
2005-2006,All,2-19,Non-Hispanic Black,Iron,15.0,0.6,16.2,13.7,,,,
2005-2006,All,2-19,Non-Hispanic Asian,Iron,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,2-19,Hispanic,Iron,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,2-19,Mexican American,Iron,16.4,0.6,17.5,15.4,,,,
2005-2006,All,2-5,All,Iron,12.3,0.4,11.5,13.1,,,,
2005-2006,All,6-11,All,Iron,14.6,0.3,14.0,15.3,,,,
2005-2006,All,12-19,All,Iron,16.6,0.3,16.0,17.2,,,,
2005-2006,All,20 and over,All,Iron,16.2,0.2,16.6,15.8,,,,
2005-2006,All,20 and over,Non-Hispanic White,Iron,16.6,0.3,17.2,16.1,,,,
2005-2006,All,20 and over,Non-Hispanic Black,Iron,14.6,0.3,15.1,14.1,,,,
2005-2006,All,20 and over,Non-Hispanic Asian,Iron,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,20 and over,Hispanic,Iron,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,20 and over,Mexican American,Iron,15.8,0.4,16.6,14.9,,,,
2005-2006,All,20-29,All,Iron,16.9,0.4,16.0,17.7,,,,
2005-2006,All,30-39,All,Iron,17.7,0.6,16.5,18.9,,,,
2005-2006,All,40-49,All,Iron,16.3,0.4,15.5,17.1,,,,
2005-2006,All,50-59,All,Iron,15.7,0.6,14.5,16.9,,,,
2005-2006,All,60-69,All,Iron,15.2,0.7,13.9,16.5,,,,
2005-2006,All,70 and over,All,Iron,14.5,0.3,14.0,15.1,,,,
2005-2006,Female,2-19,All,Iron,13.3,0.4,14.1,12.6,,,,
2005-2006,Female,2-5,All,Iron,11.6,0.5,10.7,12.5,,,,
2005-2006,Female,6-11,All,Iron,13.8,0.7,12.5,15.1,,,,
2005-2006,Female,12-19,All,Iron,13.3,0.4,12.6,14.1,,,,
2005-2006,Female,20 and over,All,Iron,13.8,0.2,14.1,13.4,,,,
2005-2006,Female,20-29,All,Iron,14.4,0.5,13.4,15.4,,,,
2005-2006,Female,30-39,All,Iron,14.9,0.6,13.6,16.1,,,,
2005-2006,Female,40-49,All,Iron,13.9,0.5,13.0,14.8,,,,
2005-2006,Female,50-59,All,Iron,13.2,0.6,12.0,14.4,,,,
2005-2006,Female,60-69,All,Iron,12.8,0.5,11.7,13.8,,,,
2005-2006,Female,70 and over,All,Iron,12.8,0.5,11.9,13.8,,,,
2005-2006,Male,2-19,All,Iron,19.6,0.6,20.7,18.5,,,,
2005-2006,Male,2-5,All,Iron,13.0,0.5,12.0,14.0,,,,
2005-2006,Male,6-11,All,Iron,15.4,0.3,14.8,16.1,,,,
2005-2006,Male,12-19,All,Iron,19.6,0.6,18.5,20.7,,,,
2005-2006,Male,20 and over,All,Iron,18.9,0.3,19.4,18.4,,,,
2005-2006,Male,20-29,All,Iron,19.3,0.7,17.9,20.7,,,,
2005-2006,Male,30-39,All,Iron,20.4,0.9,18.7,22.1,,,,
2005-2006,Male,40-49,All,Iron,19.0,0.6,17.8,20.3,,,,
2005-2006,Male,50-59,All,Iron,18.2,0.7,16.8,19.6,,,,
2005-2006,Male,60-69,All,Iron,17.9,1.0,16.0,19.9,,,,
2005-2006,Male,70 and over,All,Iron,16.9,0.4,16.2,17.7,,,,
2005-2006,All,2-19,All,Potassium,"2,220.7",40.8,"2,301.4","2,140.1",,,,
2005-2006,All,2-19,Non-Hispanic White,Potassium,"2,456.4",74.4,"2,603.3","2,309.5",,,,
2005-2006,All,2-19,Non-Hispanic Black,Potassium,"2,089.4",65.3,"2,218.3","1,960.4",,,,
2005-2006,All,2-19,Non-Hispanic Asian,Potassium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,2-19,Hispanic,Potassium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,2-19,Mexican American,Potassium,"2,438.7",91.7,"2,619.8","2,257.5",,,,
2005-2006,All,2-5,All,Potassium,"2,030.1",41.2,"1,948.8","2,111.4",,,,
2005-2006,All,6-11,All,Potassium,"2,136.8",56.3,"2,025.6","2,248.0",,,,
2005-2006,All,12-19,All,Potassium,"2,369.4",54.3,"2,262.1","2,476.7",,,,
2005-2006,All,20 and over,All,Potassium,"2,754.3",36.9,"2,827.1","2,681.4",,,,
2005-2006,All,20 and over,Non-Hispanic White,Potassium,"2,831.7",36.0,"2,902.8","2,760.7",,,,
2005-2006,All,20 and over,Non-Hispanic Black,Potassium,"2,352.1",44.3,"2,439.5","2,264.7",,,,
2005-2006,All,20 and over,Non-Hispanic Asian,Potassium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,20 and over,Hispanic,Potassium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,20 and over,Mexican American,Potassium,"2,732.5",83.0,"2,896.6","2,568.5",,,,
2005-2006,All,20-29,All,Potassium,"2,576.4",65.8,"2,446.5","2,706.4",,,,
2005-2006,All,30-39,All,Potassium,"2,923.0",49.0,"2,826.1","3,019.9",,,,
2005-2006,All,40-49,All,Potassium,"2,852.5",54.4,"2,745.0","2,960.0",,,,
2005-2006,All,50-59,All,Potassium,"2,867.7",91.5,"2,687.0","3,048.5",,,,
2005-2006,All,60-69,All,Potassium,"2,700.7",81.7,"2,539.2","2,862.1",,,,
2005-2006,All,70 and over,All,Potassium,"2,488.2",62.9,"2,363.9","2,612.5",,,,
2005-2006,Female,2-19,All,Potassium,"1,989.4",39.8,"2,068.0","1,910.7",,,,
2005-2006,Female,2-5,All,Potassium,"1,976.8",64.2,"1,850.0","2,103.7",,,,
2005-2006,Female,6-11,All,Potassium,"2,015.8",75.9,"1,865.8","2,165.7",,,,
2005-2006,Female,12-19,All,Potassium,"1,976.1",56.1,"1,865.2","2,086.9",,,,
2005-2006,Female,20 and over,All,Potassium,"2,366.0",37.7,"2,440.3","2,291.6",,,,
2005-2006,Female,20-29,All,Potassium,"2,205.3",115.1,"1,977.9","2,432.7",,,,
2005-2006,Female,30-39,All,Potassium,"2,453.4",69.5,"2,316.2","2,590.6",,,,
2005-2006,Female,40-49,All,Potassium,"2,443.5",39.7,"2,364.9","2,522.0",,,,
2005-2006,Female,50-59,All,Potassium,"2,457.8",91.5,"2,276.9","2,638.6",,,,
2005-2006,Female,60-69,All,Potassium,"2,375.9",84.8,"2,208.5","2,543.4",,,,
2005-2006,Female,70 and over,All,Potassium,"2,222.7",74.9,"2,074.7","2,370.7",,,,
2005-2006,Male,2-19,All,Potassium,"2,443.3",55.0,"2,552.0","2,334.7",,,,
2005-2006,Male,2-5,All,Potassium,"2,083.5",56.8,"1,971.3","2,195.6",,,,
2005-2006,Male,6-11,All,Potassium,"2,258.5",48.9,"2,162.0","2,355.0",,,,
2005-2006,Male,12-19,All,Potassium,"2,729.5",75.8,"2,579.8","2,879.3",,,,
2005-2006,Male,20 and over,All,Potassium,"3,174.5",43.2,"3,259.9","3,089.2",,,,
2005-2006,Male,20-29,All,Potassium,"2,950.8",73.9,"2,804.8","3,096.9",,,,
2005-2006,Male,30-39,All,Potassium,"3,376.9",75.3,"3,228.2","3,525.7",,,,
2005-2006,Male,40-49,All,Potassium,"3,310.9",76.7,"3,159.5","3,462.4",,,,
2005-2006,Male,50-59,All,Potassium,"3,282.8",101.4,"3,082.5","3,483.0",,,,
2005-2006,Male,60-69,All,Potassium,"3,076.9",110.6,"2,858.5","3,295.3",,,,
2005-2006,Male,70 and over,All,Potassium,"2,862.8",75.9,"2,712.9","3,012.7",,,,
2005-2006,All,2-19,All,Saturated Fat,30.3,0.7,29.0,31.7,,,,
2005-2006,All,2-19,Non-Hispanic White,Saturated Fat,32.0,0.8,30.4,33.6,,,,
2005-2006,All,2-19,Non-Hispanic Black,Saturated Fat,28.8,1.3,26.3,31.3,,,,
2005-2006,All,2-19,Non-Hispanic Asian,Saturated Fat,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,2-19,Hispanic,Saturated Fat,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,2-19,Mexican American,Saturated Fat,27.0,0.8,25.4,28.5,,,,
2005-2006,All,2-5,All,Saturated Fat,20.3,0.5,19.2,21.3,,,,
2005-2006,All,6-11,All,Saturated Fat,26.8,0.6,25.7,28.0,,,,
2005-2006,All,12-19,All,Saturated Fat,30.3,0.7,29.0,31.7,,,,
2005-2006,All,20 and over,All,Saturated Fat,28.1,0.6,27.0,29.2,,,,
2005-2006,All,20 and over,Non-Hispanic White,Saturated Fat,29.0,0.7,27.7,30.3,,,,
2005-2006,All,20 and over,Non-Hispanic Black,Saturated Fat,26.6,0.8,25.1,28.2,,,,
2007-2008,Male,2 and over,All,Dietary Fiber,16.6,0.5,15.7,17.6,,,,
2005-2006,All,20 and over,Non-Hispanic Asian,Saturated Fat,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,20 and over,Hispanic,Saturated Fat,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,20 and over,Mexican American,Saturated Fat,25.6,0.7,24.2,26.9,,,,
2005-2006,All,20-29,All,Saturated Fat,29.7,1.1,27.5,31.8,,,,
2005-2006,All,30-39,All,Saturated Fat,31.7,1.1,29.5,33.9,,,,
2005-2006,All,40-49,All,Saturated Fat,29.4,0.8,27.8,31.0,,,,
2005-2006,All,50-59,All,Saturated Fat,28.0,0.9,26.1,29.8,,,,
2005-2006,All,60-69,All,Saturated Fat,24.2,0.9,22.5,25.9,,,,
2005-2006,All,70 and over,All,Saturated Fat,22.0,0.6,20.9,23.1,,,,
2005-2006,Female,2-19,All,Saturated Fat,24.6,0.5,23.7,25.6,,,,
2005-2006,Female,2-5,All,Saturated Fat,19.1,0.9,17.4,20.8,,,,
2005-2006,Female,6-11,All,Saturated Fat,25.4,0.7,24.0,26.8,,,,
2005-2006,Female,12-19,All,Saturated Fat,24.6,0.5,23.7,25.6,,,,
2005-2006,Female,20 and over,All,Saturated Fat,23.2,0.6,22.1,24.3,,,,
2005-2006,Female,20-29,All,Saturated Fat,25.6,1.4,22.9,28.3,,,,
2005-2006,Female,30-39,All,Saturated Fat,24.4,0.7,23.1,25.8,,,,
2005-2006,Female,40-49,All,Saturated Fat,24.3,1.0,22.3,26.4,,,,
2005-2006,Female,50-59,All,Saturated Fat,22.7,0.9,20.9,24.5,,,,
2005-2006,Female,60-69,All,Saturated Fat,21.0,1.1,18.8,23.3,,,,
2005-2006,Female,70 and over,All,Saturated Fat,19.2,0.5,18.2,20.3,,,,
2005-2006,Male,2-19,All,Saturated Fat,35.6,0.9,33.7,37.4,,,,
2005-2006,Male,2-5,All,Saturated Fat,21.4,0.6,20.3,22.5,,,,
2005-2006,Male,6-11,All,Saturated Fat,28.3,0.7,27.0,29.7,,,,
2005-2006,Male,12-19,All,Saturated Fat,35.6,0.9,33.7,37.4,,,,
2005-2006,Male,20 and over,All,Saturated Fat,33.4,0.7,32.1,34.8,,,,
2005-2006,Male,20-29,All,Saturated Fat,33.8,1.3,31.2,36.3,,,,
2005-2006,Male,30-39,All,Saturated Fat,38.7,1.6,35.6,41.8,,,,
2005-2006,Male,40-49,All,Saturated Fat,35.2,1.0,33.1,37.2,,,,
2005-2006,Male,50-59,All,Saturated Fat,33.3,1.6,30.1,36.5,,,,
2005-2006,Male,60-69,All,Saturated Fat,27.9,1.2,25.5,30.3,,,,
2005-2006,Male,70 and over,All,Saturated Fat,25.8,0.8,24.2,27.5,,,,
2005-2006,All,2-19,All,Sodium,"3,636.7",90.4,"3,458.2","3,815.3",,,,
2005-2006,All,2-19,Non-Hispanic White,Sodium,"3,777.5",124.5,"3,531.6","4,023.4",,,,
2005-2006,All,2-19,Non-Hispanic Black,Sodium,"3,409.4",169.7,"3,074.1","3,744.7",,,,
2005-2006,All,2-19,Non-Hispanic Asian,Sodium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,2-19,Hispanic,Sodium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,2-19,Mexican American,Sodium,"3,353.1",86.1,"3,183.1","3,523.1",,,,
2005-2006,All,2-5,All,Sodium,"2,270.3",34.2,"2,202.7","2,337.9",,,,
2005-2006,All,6-11,All,Sodium,"3,083.4",75.0,"2,935.3","3,231.5",,,,
2005-2006,All,12-19,All,Sodium,"3,636.7",90.4,"3,458.2","3,815.3",,,,
2005-2006,All,20 and over,All,Sodium,"3,531.1",54.2,"3,424.1","3,638.1",,,,
2005-2006,All,20 and over,Non-Hispanic White,Sodium,"3,597.0",63.2,"3,472.1","3,721.9",,,,
2005-2006,All,20 and over,Non-Hispanic Black,Sodium,"3,337.0",90.4,"3,158.3","3,515.6",,,,
2005-2006,All,20 and over,Non-Hispanic Asian,Sodium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,20 and over,Hispanic,Sodium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,20 and over,Mexican American,Sodium,"3,298.4",91.8,"3,117.1","3,479.8",,,,
2005-2006,All,20-29,All,Sodium,"3,788.3",106.1,"3,578.7","3,997.9",,,,
2005-2006,All,30-39,All,Sodium,"3,963.7",102.6,"3,760.9","4,166.5",,,,
2005-2006,All,40-49,All,Sodium,"3,667.9",106.0,"3,458.6","3,877.2",,,,
2005-2006,All,50-59,All,Sodium,"3,475.3",88.7,"3,300.1","3,650.5",,,,
2005-2006,All,60-69,All,Sodium,"3,130.4",87.7,"2,957.0","3,303.7",,,,
2005-2006,All,70 and over,All,Sodium,"2,705.0",43.1,"2,619.8","2,790.2",,,,
2005-2006,Female,2-19,All,Sodium,"2,949.9",88.9,"2,774.2","3,125.5",,,,
2005-2006,Female,2-5,All,Sodium,"2,145.7",63.4,"2,020.4","2,271.0",,,,
2005-2006,Female,6-11,All,Sodium,"2,965.6",100.3,"2,767.3","3,163.8",,,,
2005-2006,Female,12-19,All,Sodium,"2,949.9",88.9,"2,774.2","3,125.5",,,,
2005-2006,Female,20 and over,All,Sodium,"2,933.2",50.4,"2,833.7","3,032.7",,,,
2005-2006,Female,20-29,All,Sodium,"3,106.8",122.4,"2,865.1","3,348.6",,,,
2005-2006,Female,30-39,All,Sodium,"3,186.5",98.4,"2,992.2","3,380.9",,,,
2005-2006,Female,40-49,All,Sodium,"3,058.8",90.0,"2,881.0","3,236.7",,,,
2005-2006,Female,50-59,All,Sodium,"3,000.7",70.2,"2,862.0","3,139.4",,,,
2005-2006,Female,60-69,All,Sodium,"2,605.8",78.7,"2,450.4","2,761.3",,,,
2005-2006,Female,70 and over,All,Sodium,"2,395.4",53.6,"2,289.5","2,501.3",,,,
2005-2006,Male,2-19,All,Sodium,"4,265.6",108.4,"4,051.4","4,479.8",,,,
2005-2006,Male,2-5,All,Sodium,"2,395.1",29.4,"2,336.9","2,453.3",,,,
2005-2006,Male,6-11,All,Sodium,"3,201.9",81.9,"3,040.1","3,363.7",,,,
2005-2006,Male,12-19,All,Sodium,"4,265.6",108.4,"4,051.4","4,479.8",,,,
2005-2006,Male,20 and over,All,Sodium,"4,178.3",67.1,"4,045.6","4,310.9",,,,
2005-2006,Male,20-29,All,Sodium,"4,475.7",127.4,"4,224.0","4,727.5",,,,
2005-2006,Male,30-39,All,Sodium,"4,715.0",140.0,"4,438.3","4,991.6",,,,
2005-2006,Male,40-49,All,Sodium,"4,350.4",147.6,"4,058.8","4,642.0",,,,
2005-2006,Male,50-59,All,Sodium,"3,955.8",150.6,"3,658.3","4,253.3",,,,
2005-2006,Male,60-69,All,Sodium,"3,738.1",134.8,"3,471.8","4,004.4",,,,
2005-2006,Male,70 and over,All,Sodium,"3,141.8",68.6,"3,006.2","3,277.4",,,,
2005-2006,All,2-19,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
